nohup: ignoring input
 Simulation of CS_0.001_fixed3, simulation tag : 19
 Note that the tag serves also as a seed
Start of the run number of samples : 300

 Advancement : 0.3 % done in 1.13s.
 Advancement : 84.0 % done in 200.17s.
 Advancement : 84.3 % done in 200.38s.
 Advancement : 84.7 % done in 201.32s.
 Advancement : 85.0 % done in 202.33s.
 Advancement : 85.3 % done in 203.43s.
 Advancement : 85.7 % done in 203.68s.
 Advancement : 86.0 % done in 206.10s.
 Advancement : 86.3 % done in 208.10s.
 Advancement : 86.7 % done in 211.26s.
 Advancement : 87.0 % done in 211.61s.
 Advancement : 87.3 % done in 212.26s.
 Advancement : 87.7 % done in 214.64s.
 Advancement : 88.0 % done in 217.05s.
 Advancement : 88.3 % done in 217.24s.
 Advancement : 88.7 % done in 217.83s.
 Advancement : 89.0 % done in 218.65s.
 Advancement : 89.3 % done in 218.98s.
 Advancement : 89.7 % done in 219.06s.
 Advancement : 90.0 % done in 219.96s.
 Advancement : 90.3 % done in 221.23s.
 Advancement : 90.7 % done in 222.97s.
 Advancement : 91.0 % done in 223.32s.
 Advancement : 91.3 % done in 224.36s.
 Advancement : 91.7 % done in 225.15s.
 Advancement : 92.0 % done in 225.38s.
 Advancement : 92.3 % done in 225.48s.
 Advancement : 92.7 % done in 225.65s.
 Advancement : 93.0 % done in 225.85s.
 Advancement : 93.3 % done in 226.33s.
 Advancement : 93.7 % done in 227.29s.
 Advancement : 94.0 % done in 228.33s.
 Advancement : 94.3 % done in 228.53s.
 Advancement : 94.7 % done in 229.00s.
 Advancement : 95.0 % done in 230.31s.
 Advancement : 95.3 % done in 230.81s.
 Advancement : 95.7 % done in 233.52s.
 Advancement : 96.0 % done in 234.80s.
 Advancement : 96.3 % done in 234.97s.
 Advancement : 96.7 % done in 235.12s.
 Advancement : 97.0 % done in 236.40s.
 Advancement : 97.3 % done in 236.68s.
 Advancement : 97.7 % done in 237.04s.
 Advancement : 98.0 % done in 238.20s.
 Advancement : 98.3 % done in 238.85s.
 Advancement : 98.7 % done in 241.53s.
 Advancement : 99.0 % done in 241.84s.
 Advancement : 99.3 % done in 243.52s.
 Advancement : 99.7 % done in 244.02s.
 Advancement : 100.0 % done in 244.61s.End
Saving samples
Start of the run number of samples : 300

 Advancement : 0.3 % done in 1.33s.
 Advancement : 0.7 % done in 1.71s.
 Advancement : 1.0 % done in 3.58s.
 Advancement : 1.3 % done in 4.01s.
 Advancement : 1.7 % done in 4.25s.
 Advancement : 2.0 % done in 5.78s.
 Advancement : 2.3 % done in 5.95s.
 Advancement : 2.7 % done in 6.07s.
 Advancement : 3.0 % done in 7.97s.
 Advancement : 3.3 % done in 10.72s.
 Advancement : 3.7 % done in 12.25s.
 Advancement : 4.0 % done in 12.62s.
 Advancement : 4.3 % done in 13.85s.
 Advancement : 4.7 % done in 15.57s.
 Advancement : 5.0 % done in 16.01s.
 Advancement : 5.3 % done in 18.99s.
 Advancement : 5.7 % done in 19.10s.
 Advancement : 6.0 % done in 20.61s.
 Advancement : 6.3 % done in 21.84s.
 Advancement : 6.7 % done in 23.59s.
 Advancement : 7.0 % done in 25.03s.
 Advancement : 7.3 % done in 25.67s.
 Advancement : 7.7 % done in 26.00s.
 Advancement : 8.0 % done in 26.68s.
 Advancement : 8.3 % done in 27.34s.
 Advancement : 8.7 % done in 27.91s.
 Advancement : 9.0 % done in 28.75s.
 Advancement : 9.3 % done in 29.06s.
 Advancement : 9.7 % done in 30.52s.
 Advancement : 10.0 % done in 32.60s.
 Advancement : 10.3 % done in 33.15s.
 Advancement : 10.7 % done in 33.48s.
 Advancement : 11.0 % done in 35.11s.
 Advancement : 11.3 % done in 35.72s.
 Advancement : 11.7 % done in 38.64s.
 Advancement : 12.0 % done in 40.14s.
 Advancement : 12.3 % done in 40.29s.
 Advancement : 12.7 % done in 40.78s.
 Advancement : 13.0 % done in 41.28s.
 Advancement : 13.3 % done in 42.09s.
 Advancement : 13.7 % done in 42.69s.
 Advancement : 14.0 % done in 44.19s.
 Advancement : 14.3 % done in 45.97s.
 Advancement : 14.7 % done in 46.49s.
 Advancement : 15.0 % done in 46.71s.
 Advancement : 15.3 % done in 47.25s.
 Advancement : 15.7 % done in 47.87s.
 Advancement : 16.0 % done in 48.50s.
 Advancement : 16.3 % done in 49.55s.
 Advancement : 16.7 % done in 53.18s.
 Advancement : 17.0 % done in 54.74s.
 Advancement : 17.3 % done in 55.80s.
 Advancement : 17.7 % done in 57.03s.
 Advancement : 18.0 % done in 57.43s.
 Advancement : 18.3 % done in 57.87s.
 Advancement : 18.7 % done in 58.04s.
 Advancement : 19.0 % done in 58.77s.
 Advancement : 19.3 % done in 59.11s.
 Advancement : 19.7 % done in 60.87s.
 Advancement : 20.0 % done in 61.54s.
 Advancement : 20.3 % done in 62.12s.
 Advancement : 20.7 % done in 62.28s.
 Advancement : 21.0 % done in 62.57s.
 Advancement : 21.3 % done in 63.25s.
 Advancement : 21.7 % done in 64.79s.
 Advancement : 22.0 % done in 65.06s.
 Advancement : 22.3 % done in 68.31s.
 Advancement : 22.7 % done in 68.85s.
 Advancement : 23.0 % done in 69.38s.
 Advancement : 23.3 % done in 70.43s.
 Advancement : 23.7 % done in 73.59s.
 Advancement : 24.0 % done in 73.87s.
 Advancement : 24.3 % done in 74.49s.
 Advancement : 24.7 % done in 75.06s.
 Advancement : 25.0 % done in 76.36s.
 Advancement : 25.3 % done in 77.00s.
 Advancement : 25.7 % done in 78.04s.
 Advancement : 26.0 % done in 78.57s.
 Advancement : 26.3 % done in 78.97s.
 Advancement : 26.7 % done in 81.36s.
 Advancement : 27.0 % done in 83.66s.
 Advancement : 27.3 % done in 85.09s.
 Advancement : 27.7 % done in 88.45s.
 Advancement : 28.0 % done in 89.44s.
 Advancement : 28.3 % done in 90.58s.
 Advancement : 28.7 % done in 90.96s.
 Advancement : 29.0 % done in 91.50s.
 Advancement : 29.3 % done in 91.97s.
 Advancement : 29.7 % done in 92.34s.
 Advancement : 30.0 % done in 93.28s.
 Advancement : 30.3 % done in 96.03s.
 Advancement : 30.7 % done in 97.03s.
 Advancement : 31.0 % done in 97.92s.
 Advancement : 31.3 % done in 99.51s.
 Advancement : 31.7 % done in 100.18s.
 Advancement : 32.0 % done in 100.89s.
 Advancement : 32.3 % done in 102.80s.
 Advancement : 32.7 % done in 105.27s.
 Advancement : 33.0 % done in 105.90s.
 Advancement : 33.3 % done in 107.93s.
 Advancement : 33.7 % done in 108.79s.
 Advancement : 34.0 % done in 115.11s.
 Advancement : 34.3 % done in 115.99s.
 Advancement : 34.7 % done in 116.65s.
 Advancement : 35.0 % done in 117.69s.
 Advancement : 35.3 % done in 118.40s.
 Advancement : 35.7 % done in 121.26s.
 Advancement : 36.0 % done in 122.70s.
 Advancement : 36.3 % done in 125.05s.
 Advancement : 36.7 % done in 125.69s.
 Advancement : 37.0 % done in 126.27s.
 Advancement : 37.3 % done in 128.46s.
 Advancement : 37.7 % done in 131.58s.
 Advancement : 38.0 % done in 131.97s.
 Advancement : 38.3 % done in 134.36s.
 Advancement : 38.7 % done in 135.40s.
 Advancement : 39.0 % done in 136.78s.
 Advancement : 39.3 % done in 137.57s.
 Advancement : 39.7 % done in 139.05s.
 Advancement : 40.0 % done in 139.73s.
 Advancement : 40.3 % done in 140.10s.
 Advancement : 40.7 % done in 142.50s.
 Advancement : 41.0 % done in 143.63s.
 Advancement : 41.3 % done in 145.18s.
 Advancement : 41.7 % done in 145.82s.
 Advancement : 42.0 % done in 149.37s.
 Advancement : 42.3 % done in 150.13s.
 Advancement : 42.7 % done in 151.67s.
 Advancement : 43.0 % done in 152.18s.
 Advancement : 43.3 % done in 153.24s.
 Advancement : 43.7 % done in 156.64s.
 Advancement : 44.0 % done in 157.09s.
 Advancement : 44.3 % done in 157.29s.
 Advancement : 44.7 % done in 157.61s.
 Advancement : 45.0 % done in 158.67s.
 Advancement : 45.3 % done in 159.26s.
 Advancement : 45.7 % done in 162.30s.
 Advancement : 46.0 % done in 164.41s.
 Advancement : 46.3 % done in 164.61s.
 Advancement : 46.7 % done in 165.81s.
 Advancement : 47.0 % done in 169.85s.
 Advancement : 47.3 % done in 170.48s.
 Advancement : 47.7 % done in 171.20s.
 Advancement : 48.0 % done in 172.01s.
 Advancement : 48.3 % done in 173.40s.
 Advancement : 48.7 % done in 178.27s.
 Advancement : 49.0 % done in 178.83s.
 Advancement : 49.3 % done in 180.00s.
 Advancement : 49.7 % done in 180.79s.
 Advancement : 50.0 % done in 182.01s.
 Advancement : 50.3 % done in 182.26s.
 Advancement : 50.7 % done in 183.93s.
 Advancement : 51.0 % done in 184.88s.
 Advancement : 51.3 % done in 189.51s.
 Advancement : 51.7 % done in 189.85s.
 Advancement : 52.0 % done in 190.50s.
 Advancement : 52.3 % done in 192.18s.
 Advancement : 52.7 % done in 194.56s.
 Advancement : 53.0 % done in 196.57s.
 Advancement : 53.3 % done in 197.31s.
 Advancement : 53.7 % done in 197.41s.
 Advancement : 54.0 % done in 198.41s.
 Advancement : 54.3 % done in 198.63s.
 Advancement : 54.7 % done in 199.10s.
 Advancement : 55.0 % done in 199.70s.
 Advancement : 55.3 % done in 203.11s.
 Advancement : 55.7 % done in 204.12s.
 Advancement : 56.0 % done in 204.42s.
 Advancement : 56.3 % done in 205.90s.
 Advancement : 56.7 % done in 206.21s.
 Advancement : 57.0 % done in 207.58s.
 Advancement : 57.3 % done in 208.14s.
 Advancement : 57.7 % done in 209.40s.
 Advancement : 58.0 % done in 212.34s.
 Advancement : 58.3 % done in 213.74s.
 Advancement : 58.7 % done in 213.93s.
 Advancement : 59.0 % done in 214.70s.
 Advancement : 59.3 % done in 216.02s.
 Advancement : 59.7 % done in 216.34s.
 Advancement : 60.0 % done in 216.95s.
 Advancement : 60.3 % done in 220.68s.
 Advancement : 60.7 % done in 222.01s.
 Advancement : 61.0 % done in 224.37s.
 Advancement : 61.3 % done in 226.73s.
 Advancement : 61.7 % done in 229.90s.
 Advancement : 62.0 % done in 230.55s.
 Advancement : 62.3 % done in 231.08s.
 Advancement : 62.7 % done in 235.67s.
 Advancement : 63.0 % done in 237.56s.
 Advancement : 63.3 % done in 238.26s.
 Advancement : 63.7 % done in 240.15s.
 Advancement : 64.0 % done in 242.00s.
 Advancement : 64.3 % done in 247.94s.
 Advancement : 64.7 % done in 249.33s.
 Advancement : 65.0 % done in 251.35s.
 Advancement : 65.3 % done in 252.39s.
 Advancement : 65.7 % done in 254.50s.
 Advancement : 66.0 % done in 254.68s.
 Advancement : 66.3 % done in 256.40s.
 Advancement : 66.7 % done in 259.51s.
 Advancement : 67.0 % done in 259.86s.
 Advancement : 67.3 % done in 261.32s.
 Advancement : 67.7 % done in 264.96s.
 Advancement : 68.0 % done in 268.89s.
 Advancement : 68.3 % done in 270.01s.
 Advancement : 68.7 % done in 270.43s.
 Advancement : 69.0 % done in 270.89s.
 Advancement : 69.3 % done in 271.64s.
 Advancement : 69.7 % done in 272.94s.
 Advancement : 70.0 % done in 274.29s.
 Advancement : 70.3 % done in 277.00s.
 Advancement : 70.7 % done in 277.45s.
 Advancement : 71.0 % done in 280.93s.
 Advancement : 71.3 % done in 282.09s.
 Advancement : 71.7 % done in 282.63s.
 Advancement : 72.0 % done in 283.28s.
 Advancement : 72.3 % done in 284.14s.
 Advancement : 72.7 % done in 285.03s.
 Advancement : 73.0 % done in 286.97s.
 Advancement : 73.3 % done in 287.17s.
 Advancement : 73.7 % done in 288.06s.
 Advancement : 74.0 % done in 288.65s.
 Advancement : 74.3 % done in 292.71s.
 Advancement : 74.7 % done in 293.22s.
 Advancement : 75.0 % done in 293.94s.
 Advancement : 75.3 % done in 296.82s.
 Advancement : 75.7 % done in 297.32s.
 Advancement : 76.0 % done in 299.01s.
 Advancement : 76.3 % done in 299.81s.
 Advancement : 76.7 % done in 299.92s.
 Advancement : 77.0 % done in 300.04s.
 Advancement : 77.3 % done in 301.30s.
 Advancement : 77.7 % done in 301.67s.
 Advancement : 78.0 % done in 302.10s.
 Advancement : 78.3 % done in 303.44s.
 Advancement : 78.7 % done in 305.33s.
 Advancement : 79.0 % done in 307.95s.
 Advancement : 79.3 % done in 308.66s.
 Advancement : 79.7 % done in 310.04s.
 Advancement : 80.0 % done in 310.39s.
 Advancement : 80.3 % done in 310.69s.
 Advancement : 80.7 % done in 311.22s.
 Advancement : 81.0 % done in 312.38s.
 Advancement : 81.3 % done in 312.77s.
 Advancement : 81.7 % done in 313.38s.
 Advancement : 82.0 % done in 314.69s.
 Advancement : 82.3 % done in 316.11s.
 Advancement : 82.7 % done in 316.54s.
 Advancement : 83.0 % done in 317.41s.
 Advancement : 83.3 % done in 318.38s.
 Advancement : 83.7 % done in 318.60s.
 Advancement : 84.0 % done in 320.76s.
 Advancement : 84.3 % done in 321.21s.
 Advancement : 84.7 % done in 322.36s.
 Advancement : 85.0 % done in 324.20s.
 Advancement : 85.3 % done in 325.73s.
 Advancement : 85.7 % done in 326.87s.
 Advancement : 86.0 % done in 329.12s.
 Advancement : 86.3 % done in 332.15s.
 Advancement : 86.7 % done in 332.34s.
 Advancement : 87.0 % done in 334.31s.
 Advancement : 87.3 % done in 334.51s.
 Advancement : 87.7 % done in 335.11s.
 Advancement : 88.0 % done in 336.76s.
 Advancement : 88.3 % done in 337.30s.
 Advancement : 88.7 % done in 338.70s.
 Advancement : 89.0 % done in 341.36s.
 Advancement : 89.3 % done in 342.84s.
 Advancement : 89.7 % done in 343.71s.
 Advancement : 90.0 % done in 348.10s.
 Advancement : 90.3 % done in 349.57s.
 Advancement : 90.7 % done in 350.62s.
 Advancement : 91.0 % done in 350.71s.
 Advancement : 91.3 % done in 351.63s.
 Advancement : 91.7 % done in 354.12s.
 Advancement : 92.0 % done in 354.47s.
 Advancement : 92.3 % done in 355.93s.
 Advancement : 92.7 % done in 356.34s.
 Advancement : 93.0 % done in 356.77s.
 Advancement : 93.3 % done in 357.59s.
 Advancement : 93.7 % done in 358.69s.
 Advancement : 94.0 % done in 361.02s.
 Advancement : 94.3 % done in 361.35s.
 Advancement : 94.7 % done in 361.70s.
 Advancement : 95.0 % done in 363.09s.
 Advancement : 95.3 % done in 363.29s.
 Advancement : 95.7 % done in 364.52s.
 Advancement : 96.0 % done in 364.97s.
 Advancement : 96.3 % done in 366.74s.
 Advancement : 96.7 % done in 366.93s.
 Advancement : 97.0 % done in 367.85s.
 Advancement : 97.3 % done in 369.35s.
 Advancement : 97.7 % done in 369.68s.
 Advancement : 98.0 % done in 370.12s.
 Advancement : 98.3 % done in 370.62s.
 Advancement : 98.7 % done in 371.48s.
 Advancement : 99.0 % done in 372.09s.
 Advancement : 99.3 % done in 372.81s.
 Advancement : 99.7 % done in 373.03s.
 Advancement : 100.0 % done in 373.34s.End
Saving samples
Start of the run number of samples : 300

 Advancement : 0.3 % done in 1.10s.
 Advancement : 0.7 % done in 3.07s.
 Advancement : 1.0 % done in 3.62s.
 Advancement : 1.3 % done in 4.34s.
 Advancement : 1.7 % done in 5.98s.
 Advancement : 2.0 % done in 8.99s.
 Advancement : 2.3 % done in 10.42s.
 Advancement : 2.7 % done in 10.70s.
 Advancement : 3.0 % done in 12.20s.
 Advancement : 3.3 % done in 14.26s.
 Advancement : 3.7 % done in 14.67s.
 Advancement : 4.0 % done in 16.65s.
 Advancement : 4.3 % done in 17.60s.
 Advancement : 4.7 % done in 18.39s.
 Advancement : 5.0 % done in 22.54s.
 Advancement : 5.3 % done in 23.54s.
 Advancement : 5.7 % done in 24.45s.
 Advancement : 6.0 % done in 27.31s.
 Advancement : 6.3 % done in 28.62s.
 Advancement : 6.7 % done in 28.99s.
 Advancement : 7.0 % done in 31.39s.
 Advancement : 7.3 % done in 32.89s.
 Advancement : 7.7 % done in 34.50s.
 Advancement : 8.0 % done in 36.25s.
 Advancement : 8.3 % done in 36.63s.
 Advancement : 8.7 % done in 38.36s.
 Advancement : 9.0 % done in 45.12s.
 Advancement : 9.3 % done in 45.58s.
 Advancement : 9.7 % done in 48.09s.
 Advancement : 10.0 % done in 51.24s.
 Advancement : 10.3 % done in 51.99s.
 Advancement : 10.7 % done in 56.03s.
 Advancement : 11.0 % done in 56.53s.
 Advancement : 11.3 % done in 57.14s.
 Advancement : 11.7 % done in 57.45s.
 Advancement : 12.0 % done in 59.61s.
 Advancement : 12.3 % done in 60.89s.
 Advancement : 12.7 % done in 62.28s.
 Advancement : 13.0 % done in 62.65s.
 Advancement : 13.3 % done in 67.14s.
 Advancement : 13.7 % done in 69.01s.
 Advancement : 14.0 % done in 71.00s.
 Advancement : 14.3 % done in 71.67s.
 Advancement : 14.7 % done in 73.52s.
 Advancement : 15.0 % done in 76.32s.
 Advancement : 15.3 % done in 77.17s.
 Advancement : 15.7 % done in 77.81s.
 Advancement : 16.0 % done in 78.24s.
 Advancement : 16.3 % done in 79.80s.
 Advancement : 16.7 % done in 80.57s.
 Advancement : 17.0 % done in 82.71s.
 Advancement : 17.3 % done in 86.90s.
 Advancement : 17.7 % done in 88.29s.
 Advancement : 18.0 % done in 91.12s.
 Advancement : 18.3 % done in 93.30s.
 Advancement : 18.7 % done in 94.34s.
 Advancement : 19.0 % done in 95.65s.
 Advancement : 19.3 % done in 97.30s.
 Advancement : 19.7 % done in 97.80s.
 Advancement : 20.0 % done in 99.26s.
 Advancement : 20.3 % done in 102.11s.
 Advancement : 20.7 % done in 103.14s.
 Advancement : 21.0 % done in 103.58s.
 Advancement : 21.3 % done in 104.84s.
 Advancement : 21.7 % done in 110.16s.
 Advancement : 22.0 % done in 111.44s.
 Advancement : 22.3 % done in 112.40s.
 Advancement : 22.7 % done in 114.83s.
 Advancement : 23.0 % done in 115.42s.
