nohup: ignoring input
 Simulation of RV_0.001_smallD, simulation tag : 4
 Note that the tag serves also as a seed
Start of the run number of samples : 5000

 Advancement : 0.0 % done in 0.26s.
 Advancement : 1.2 % done in 29.94s.
 Advancement : 1.2 % done in 30.37s.
 Advancement : 1.2 % done in 30.56s.
 Advancement : 1.3 % done in 30.73s.
 Advancement : 1.3 % done in 30.97s.
 Advancement : 1.3 % done in 31.29s.
 Advancement : 1.3 % done in 31.61s.
 Advancement : 1.3 % done in 32.01s.
 Advancement : 1.4 % done in 32.32s.
 Advancement : 1.4 % done in 32.64s.
 Advancement : 1.4 % done in 33.28s.
 Advancement : 1.4 % done in 34.61s.
 Advancement : 1.4 % done in 35.00s.
 Advancement : 1.5 % done in 36.22s.
 Advancement : 1.5 % done in 36.32s.
 Advancement : 1.5 % done in 36.40s.
 Advancement : 1.5 % done in 37.71s.
 Advancement : 1.5 % done in 39.38s.
 Advancement : 1.6 % done in 39.57s.
 Advancement : 1.6 % done in 40.07s.
 Advancement : 1.6 % done in 40.46s.
 Advancement : 1.6 % done in 40.75s.
 Advancement : 1.6 % done in 40.96s.
 Advancement : 1.7 % done in 41.27s.
 Advancement : 1.7 % done in 42.00s.
 Advancement : 1.7 % done in 42.32s.
 Advancement : 1.7 % done in 42.51s.
 Advancement : 1.7 % done in 43.20s.
 Advancement : 1.8 % done in 44.02s.
 Advancement : 1.8 % done in 44.80s.
 Advancement : 1.8 % done in 45.01s.
 Advancement : 1.8 % done in 45.25s.
 Advancement : 1.8 % done in 45.65s.
 Advancement : 1.9 % done in 45.91s.
 Advancement : 1.9 % done in 46.25s.
 Advancement : 1.9 % done in 46.43s.
 Advancement : 1.9 % done in 46.64s.
 Advancement : 1.9 % done in 47.68s.
 Advancement : 2.0 % done in 48.16s.
 Advancement : 2.0 % done in 48.57s.
 Advancement : 2.0 % done in 49.23s.
 Advancement : 2.0 % done in 49.90s.
 Advancement : 2.0 % done in 50.54s.
 Advancement : 2.1 % done in 50.82s.
 Advancement : 2.1 % done in 51.29s.
 Advancement : 2.1 % done in 51.65s.
 Advancement : 2.1 % done in 52.52s.
 Advancement : 2.1 % done in 53.97s.
 Advancement : 2.2 % done in 54.36s.
 Advancement : 2.2 % done in 54.52s.
 Advancement : 2.2 % done in 54.73s.
 Advancement : 2.2 % done in 55.27s.
 Advancement : 2.2 % done in 55.40s.
 Advancement : 2.3 % done in 56.08s.
 Advancement : 2.3 % done in 56.45s.
 Advancement : 2.3 % done in 57.07s.
 Advancement : 2.3 % done in 57.32s.
 Advancement : 2.3 % done in 58.63s.
 Advancement : 2.4 % done in 59.68s.
 Advancement : 2.4 % done in 60.03s.
 Advancement : 2.4 % done in 60.80s.
 Advancement : 2.4 % done in 61.20s.
 Advancement : 2.4 % done in 61.62s.
 Advancement : 2.5 % done in 61.92s.
 Advancement : 2.5 % done in 62.44s.
 Advancement : 2.5 % done in 62.94s.
 Advancement : 2.5 % done in 63.06s.
 Advancement : 2.5 % done in 63.47s.
 Advancement : 2.6 % done in 63.62s.
 Advancement : 2.6 % done in 63.99s.
 Advancement : 2.6 % done in 64.39s.
 Advancement : 2.6 % done in 64.74s.
 Advancement : 2.6 % done in 65.26s.
 Advancement : 2.7 % done in 65.88s.
 Advancement : 2.7 % done in 66.63s.
 Advancement : 2.7 % done in 67.26s.
 Advancement : 2.7 % done in 68.56s.
 Advancement : 2.7 % done in 68.74s.
 Advancement : 2.8 % done in 68.97s.
 Advancement : 2.8 % done in 70.43s.
 Advancement : 2.8 % done in 71.36s.
 Advancement : 2.8 % done in 72.00s.
 Advancement : 2.8 % done in 72.17s.
 Advancement : 2.9 % done in 72.64s.
 Advancement : 2.9 % done in 72.96s.
 Advancement : 2.9 % done in 74.44s.
 Advancement : 2.9 % done in 74.86s.
 Advancement : 2.9 % done in 75.00s.
 Advancement : 3.0 % done in 75.24s.
 Advancement : 3.0 % done in 75.63s.
 Advancement : 3.0 % done in 75.73s.
 Advancement : 3.0 % done in 75.96s.
 Advancement : 3.0 % done in 76.37s.
 Advancement : 3.1 % done in 76.91s.
 Advancement : 3.1 % done in 77.10s.
 Advancement : 3.1 % done in 77.48s.
 Advancement : 3.1 % done in 77.69s.
 Advancement : 3.1 % done in 78.55s.
 Advancement : 3.2 % done in 78.96s.
 Advancement : 3.2 % done in 79.76s.
 Advancement : 3.2 % done in 79.88s.
 Advancement : 3.2 % done in 80.18s.
 Advancement : 3.2 % done in 80.46s.
 Advancement : 3.3 % done in 80.67s.
 Advancement : 3.3 % done in 80.82s.
 Advancement : 3.3 % done in 81.41s.
 Advancement : 3.3 % done in 82.40s.
 Advancement : 3.3 % done in 82.49s.
 Advancement : 3.4 % done in 82.64s.
 Advancement : 3.4 % done in 83.12s.
 Advancement : 3.4 % done in 83.61s.
 Advancement : 3.4 % done in 84.91s.
 Advancement : 3.4 % done in 85.09s.
 Advancement : 3.5 % done in 85.51s.
 Advancement : 3.5 % done in 85.64s.
 Advancement : 3.5 % done in 85.88s.
 Advancement : 3.5 % done in 86.36s.
 Advancement : 3.5 % done in 86.77s.
 Advancement : 3.6 % done in 87.02s.
 Advancement : 3.6 % done in 87.95s.
 Advancement : 3.6 % done in 88.60s.
 Advancement : 3.6 % done in 89.38s.
 Advancement : 3.6 % done in 89.65s.
 Advancement : 3.7 % done in 90.20s.
 Advancement : 3.7 % done in 90.46s.
 Advancement : 3.7 % done in 90.74s.
 Advancement : 3.7 % done in 91.72s.
 Advancement : 3.7 % done in 92.45s.
 Advancement : 3.8 % done in 92.59s.
 Advancement : 3.8 % done in 92.79s.
 Advancement : 3.8 % done in 93.57s.
 Advancement : 3.8 % done in 94.41s.
 Advancement : 3.8 % done in 94.78s.
 Advancement : 3.9 % done in 95.71s.
 Advancement : 3.9 % done in 96.16s.
 Advancement : 3.9 % done in 96.90s.
 Advancement : 3.9 % done in 98.20s.
 Advancement : 3.9 % done in 99.34s.
 Advancement : 4.0 % done in 99.53s.
 Advancement : 4.0 % done in 100.40s.
 Advancement : 4.0 % done in 100.49s.
 Advancement : 4.0 % done in 101.13s.
 Advancement : 4.0 % done in 101.40s.
 Advancement : 4.1 % done in 101.57s.
 Advancement : 4.1 % done in 101.81s.
 Advancement : 4.1 % done in 101.95s.
 Advancement : 4.1 % done in 102.11s.
 Advancement : 4.1 % done in 102.51s.
 Advancement : 4.2 % done in 102.67s.
 Advancement : 4.2 % done in 103.51s.
 Advancement : 4.2 % done in 103.83s.
 Advancement : 4.2 % done in 104.31s.
 Advancement : 4.2 % done in 104.63s.
 Advancement : 4.3 % done in 105.51s.
 Advancement : 4.3 % done in 105.59s.
 Advancement : 4.3 % done in 105.74s.
 Advancement : 4.3 % done in 106.09s.
 Advancement : 4.3 % done in 106.51s.
 AdvancemAdvancemdonedone in 106.66s.
 Advancement : 4.4 % done in 107.59s.
 Advancement : 4.4 % done in 107.70s.
 Advancement : 4.4 % done in 107.83s.
 Advancement : 4.4 % done in 108.60s.
 Advancement : 4.5 % done in 108.73s.
 Advancement : 4.5 % done in 109.52s.
 Advancement : 4.5 % done in 109.98s.
 Advancement : 4.5 % done in 110.68s.
 Advancement : 4.5 % done in 111.39s.
 Advancement : 4.6 % done in 112.21s.
 Advancement : 4.6 % done in 112.86s.
 Advancement : 4.6 % done in 114.06s.
 Advancement : 4.6 % done in 114.35s.
 Advancement : 4.6 % done in 114.43s.
 Advancement : 4.7 % done in 114.95s.
 Advancement : 4.7 % done in 115.19s.
 Advancement : 4.7 % done in 115.70s.
 Advancement : 4.7 % done in 116.85s.
 Advancement : 4.7 % done in 117.11s.
 Advancement : 4.8 % done in 117.20s.
 Advancement : 4.8 % done in 117.31s.
 Advancement : 4.8 % done in 117.42s.
 Advancement : 4.8 % done in 118.04s.
 Advancement : 4.8 % done in 118.28s.
 Advancement : 4.9 % done in 118.64s.
 Advancement : 4.9 % done in 119.45s.
 Advancement : 4.9 % done in 119.67s.
 Advancement : 4.9 % done in 120.03s.
 Advancement : 4.9 % done in 120.33s.
 Advancement : 5.0 % done in 120.96s.
 Advancement : 5.0 % done in 121.32s.
 Advancement : 5.0 % done in 121.40s.
 Advancement : 5.0 % done in 122.07s.
 Advancement : 5.0 % done in 122.31s.
 Advancement : 5.1 % done in 122.51s.
 Advancement : 5.1 % done in 123.27s.
 Advancement : 5.1 % done in 123.48s.
 Advancement : 5.1 % done in 124.50s.
 Advancement : 5.1 % done in 124.96s.
 Advancement : 5.2 % done in 125.56s.
 Advancement : 5.2 % done in 125.71s.
 Advancement : 5.2 % done in 125.75s.
 Advancement : 5.2 % done in 126.03s.
 Advancement : 5.2 % done in 126.25s.
 Advancement : 5.3 % done in 126.74s.
 Advancement : 5.3 % done in 127.40s.
 Advancement : 5.3 % done in 127.89s.
 Advancement : 5.3 % done in 128.70s.
 Advancement : 5.3 % done in 129.13s.
 Advancement : 5.4 % done in 129.54s.
 Advancement : 5.4 % done in 129.95s.
 Advancement : 5.4 % done in 130.15s.
 Advancement : 5.4 % done in 131.63s.
 Advancement : 5.4 % done in 131.84s.
 Advancement : 5.5 % done in 132.80s.
 Advancement : 5.5 % done in 132.97s.
 Advancement : 5.5 % done in 133.39s.
 Advancement : 5.5 % done in 134.15s.
 Advancement : 5.5 % done in 134.86s.
 Advancement : 5.6 % done in 135.36s.
 Advancement : 5.6 % done in 136.82s.
 Advancement : 5.6 % done in 138.05s.
 Advancement : 5.6 % done in 138.34s.
 Advancement : 5.6 % done in 138.59s.
 Advancement : 5.7 % done in 139.03s.
 Advancement : 5.7 % done in 139.29s.
 Advancement : 5.7 % done in 139.46s.
 Advancement : 5.7 % done in 139.73s.
 Advancement : 5.7 % done in 140.50s.
 Advancement : 5.8 % done in 140.69s.
 Advancement : 5.8 % done in 141.23s.
 Advancement : 5.8 % done in 141.67s.
 Advancement : 5.8 % done in 142.57s.
 Advancement : 5.8 % done in 142.88s.
 Advancement : 5.9 % done in 143.01s.
 Advancement : 5.9 % done in 143.08s.
 Advancement : 5.9 % done in 143.20s.
 Advancement : 5.9 % done in 143.93s.
 Advancement : 5.9 % done in 144.03s.
 Advancement : 6.0 % done in 144.43s.
 Advancement : 6.0 % done in 144.96s.
 Advancement : 6.0 % done in 145.63s.
 Advancement : 6.0 % done in 146.34s.
 Advancement : 6.0 % done in 146.98s.
 Advancement : 6.1 % done in 147.17s.
 Advancement : 6.1 % done in 147.77s.
 Advancement : 6.1 % done in 147.98s.
 Advancement : 6.1 % done in 148.21s.
 Advancement : 6.1 % done in 148.62s.
 Advancement : 6.2 % done in 149.23s.
 Advancement : 6.2 % done in 150.84s.
 Advancement : 6.2 % done in 153.03s.
 Advancement : 6.2 % done in 153.17s.
 Advancement : 6.2 % done in 154.27s.
 Advancement : 6.3 % done in 154.41s.
 Advancement : 6.3 % done in 154.65s.
 Advancement : 6.3 % done in 155.12s.
 Advancement : 6.3 % done in 155.35s.
 Advancement : 6.3 % done in 155.44s.
 Advancement : 6.4 % done in 155.85s.
 Advancement : 6.4 % done in 156.19s.
 Advancement : 6.4 % done in 156.62s.
 Advancement : 6.4 % done in 157.17s.
 Advancement : 6.4 % done in 157.66s.
 Advancement : 6.5 % done in 157.84s.
 Advancement : 6.5 % done in 159.05s.
 Advancement : 6.5 % done in 159.80s.
 Advancement : 6.5 % done in 160.05s.
 Advancement : 6.5 % done in 160.24s.
 Advancement : 6.6 % done in 160.70s.
 Advancement : 6.6 % done in 161.97s.
 Advancement : 6.6 % done in 162.52s.
 Advancement : 6.6 % done in 163.28s.
 Advancement : 6.6 % done in 163.73s.
 Advancement : 6.7 % done in 164.25s.
 Advancement : 6.7 % done in 164.44s.
 Advancement : 6.7 % done in 164.86s.
 Advancement : 6.7 % done in 165.02s.
 Advancement : 6.7 % done in 165.42s.
 Advancement : 6.8 % done in 166.34s.
 Advancement : 6.8 % done in 166.37s.
 Advancement : 6.8 % done in 166.71s.
 Advancement : 6.8 % done in 167.24s.
 Advancement : 6.8 % done in 167.87s.
 Advancement : 6.9 % done in 168.41s.
 Advancement : 6.9 % done in 168.63s.
 Advancement : 6.9 % done in 168.90s.
 Advancement : 6.9 % done in 169.01s.
 Advancement : 6.9 % done in 169.30s.
 Advancement : 7.0 % done in 169.64s.
 Advancement : 7.0 % done in 169.95s.
 Advancement : 7.0 % done in 171.70s.
 Advancement : 7.0 % done in 171.86s.
 Advancement : 7.0 % done in 172.96s.
 Advancement : 7.1 % done in 173.58s.
 Advancement : 7.1 % done in 174.04s.
 Advancement : 7.1 % done in 174.34s.
 Advancement : 7.1 % done in 174.44s.
 Advancement : 7.1 % done in 174.48s.
 Advancement : 7.2 % done in 174.99s.
 Advancement : 7.2 % done in 175.16s.
 Advancement : 7.2 % done in 175.99s.
 Advancement : 7.2 % done in 176.25s.
 Advancement : 7.2 % done in 177.25s.
 Advancement : 7.3 % done in 177.48s.
 Advancement : 7.3 % done in 177.57s.
 Advancement : 7.3 % done in 177.64s.
 Advancement : 7.3 % done in 177.81s.
 Advancement : 7.3 % done in 178.37s.
 Advancement : 7.4 % done in 178.49s.
 Advancement : 7.4 % done in 179.14s.
 Advancement : 7.4 % done in 179.39s.
 Advancement : 7.4 % done in 179.80s.
 Advancement : 7.4 % done in 180.74s.
 Advancement : 7.5 % done in 181.85s.
 Advancement : 7.5 % done in 183.18s.
 Advancement : 7.5 % done in 183.49s.
 Advancement : 7.5 % done in 184.57s.
 Advancement : 7.5 % done in 186.68s.
 Advancement : 7.6 % done in 186.84s.
 Advancement : 7.6 % done in 187.56s.
 Advancement : 7.6 % done in 187.97s.
 Advancement : 7.6 % done in 188.51s.
 Advancement : 7.6 % done in 188.77s.
 Advancement : 7.7 % done in 188.96s.
 Advancement : 7.7 % done in 189.59s.
 Advancement : 7.7 % done in 191.03s.
 Advancement : 7.7 % done in 191.12s.
 Advancement : 7.7 % done in 191.45s.
 Advancement : 7.8 % done in 191.61s.
 Advancement : 7.8 % done in 192.81s.
 Advancement : 7.8 % done in 193.07s.
 Advancement : 7.8 % done in 193.50s.
 Advancement : 7.8 % done in 194.07s.
 Advancement : 7.9 % done in 194.26s.
 Advancement : 7.9 % done in 194.39s.
 Advancement : 7.9 % done in 195.53s.
 Advancement : 7.9 % done in 195.93s.
 Advancement : 7.9 % done in 196.51s.
 Advancement : 8.0 % done in 196.94s.
 Advancement : 8.0 % done in 197.38s.
 Advancement : 8.0 % done in 197.65s.
 Advancement : 8.0 % done in 197.86s.
 Advancement : 8.0 % done in 198.12s.
 Advancement : 8.1 % done in 198.45s.
 Advancement : 8.1 % done in 198.54s.
 Advancement : 8.1 % done in 200.90s.
 Advancement : 8.1 % done in 201.14s.
 Advancement : 8.1 % done in 202.78s.
 Advancement : 8.2 % done in 202.96s.
 Advancement : 8.2 % done in 203.78s.
 Advancement : 8.2 % done in 204.28s.
 Advancement : 8.2 % done in 205.73s.
 Advancement : 8.2 % done in 206.18s.
 Advancement : 8.3 % done in 206.48s.
 Advancement : 8.3 % done in 207.06s.
 Advancement : 8.3 % done in 207.17s.
 Advancement : 8.3 % done in 207.82s.
 Advancement : 8.3 % done in 208.61s.
 Advancement : 8.4 % done in 208.91s.
 Advancement : 8.4 % done in 209.15s.
 Advancement : 8.4 % done in 209.68s.
 Advancement : 8.4 % done in 210.66s.
 Advancement : 8.4 % done in 210.81s.
 Advancement : 8.5 % done in 210.94s.
 Advancement : 8.5 % done in 211.15s.
 Advancement : 8.5 % done in 212.85s.
 Advancement : 8.5 % done in 213.04s.
 Advancement : 8.5 % done in 213.36s.
 Advancement : 8.6 % done in 213.65s.
 Advancement : 8.6 % done in 214.25s.
 Advancement : 8.6 % done in 214.48s.
 Advancement : 8.6 % done in 214.68s.
 Advancement : 8.6 % done in 215.80s.
 Advancement : 8.7 % done in 195.75AdvaAdvancement : 8.7 % done in 216.24s.
 Advancement : 8.7 % done in 216.96s.
 Advancement : 8.7 % done in 217.14s.
 Advancement : 8.7 % done in 217.66s.
 Advancement : 8.8 % done in 218.07s.
 Advancement : 8.8 % done in 221.05s.
 Advancement : 8.8 % done in 221.22s.
 Advancement : 8.8 % done in 221.51s.
 Advancement : 8.8 % done in 221.72s.
 Advancement : 8.9 % done in 222.00s.
 Advancement : 8.9 % done in 222.31s.
 Advancement : 8.9 % done in 222.87s.
 Advancement : 8.9 % done in 223.50s.
 Advancement : 8.9 % done in 225.27s.
 Advancement : 9.0 % done in 225.53s.
 Advancement : 9.0 % done in 225.57s.
 Advancement : 9.0 % done in 226.09s.
 Advancement : 9.0 % done in 226.55s.
 Advancement : 9.0 % done in 226.65s.
 Advancement : 9.1 % done in 226.83s.
 Advancement : 9.1 % done in 226.99s.
 Advancement : 9.1 % done in 227.59s.
 Advancement : 9.1 % done in 227.68s.
 Advancement : 9.1 % done in 228.54s.
 Advancement : 9.2 % done in 228.57s.
 Advancement : 9.2 % done in 228.84s.
 Advancement : 9.2 % done in 229.65s.
 Advancement : 9.2 % done in 230.21s.
 Advancement : 9.2 % done in 230.85s.
 Advancement : 9.3 % done in 231.92s.
 Advancement : 9.3 % done in 232.63s.
 Advancement : 9.3 % done in 232.67s.
 Advancement : 9.3 % done in 233.09s.
 Advancement : 9.3 % done in 234.04s.
 Advancement : 9.4 % done in 234.15s.
 Advancement : 9.4 % done in 234.44s.
 Advancement : 9.4 % done in 234.56s.
 Advancement : 9.4 % done in 234.65s.
 Advancement : 9.4 % done in 235.05s.
 Advancement : 9.5 % done in 235.42s.
 Advancement : 9.5 % done in 235.65s.
 Advancement : 9.5 % done in 235.77s.
 Advancement : 9.5 % done in 235.95s.
 Advancement : 9.5 % done in 236.49s.
 Advancement : 9.6 % done in 238.04s.
 Advancement : 9.6 % done in 238.62s.
 Advancement : 9.6 % done in 239.23s.
 Advancement : 9.6 % done in 240.58s.
 Advancement : 9.6 % done in 240.76s.
 Advancement : 9.7 % done in 242.05s.
 Advancement : 9.7 % done in 242.40s.
 Advancement : 9.7 % done in 242.93s.
 Advancement : 9.7 % done in 243.21s.
 Advancement : 9.7 % done in 243.91s.
 Advancement : 9.8 % done in 244.10s.
 Advancement : 9.8 % done in 244.29s.
 Advancement : 9.8 % done in 244.47s.
 Advancement : 9.8 % done in 244.73s.
 Advancement : 9.8 % done in 244.87s.
 Advancement : 9.9 % done in 245.61s.
 Advancement : 9.9 % done in 246.89s.
 Advancement : 9.9 % done in 246.98s.
 Advancement : 9.9 % done in 247.17s.
 Advancement : 9.9 % done in 247.54s.
 Advancement : 10.0 % done in 247.98s.
 Advancement : 10.0 % done in 248.24s.
 Advancement : 10.0 % done in 248.94s.
 Advancement : 10.0 % done in 249.74s.
 Advancement : 10.0 % done in 250.32s.
 Advancement : 10.1 % done in 250.94s.
 Advancement : 10.1 % done in 251.05s.
 Advancement : 10.1 % done in 251.47s.
 Advancement : 10.1 % done in 251.99s.
 Advancement : 10.1 % done in 252.18s.
 Advancement : 10.2 % done in 252.42s.
 Advancement : 10.2 % done in 253.26s.
 Advancement : 10.2 % done in 253.75s.
 Advancement : 10.2 % done in 254.82s.
 Advancement : 10.2 % done in 255.69s.
 Advancement : 10.3 % done in 256.25s.
 Advancement : 10.3 % done in 256.48s.
 Advancement : 10.3 % done in 257.27s.
 Advancement : 10.3 % done in 257.36s.
 Advancement : 10.3 % done in 257.61s.
 Advancement : 10.4 % done in 258.01s.
 Advancement : 10.4 % done in 258.73s.
 Advancement : 10.4 % done in 259.04s.
 Advancement : 10.4 % done in 259.43s.
 Advancement : 10.4 % done in 260.57s.
 Advancement : 10.5 % done in 260.65s.
 Advancement : 10.5 % done in 261.32s.
 Advancement : 10.5 % done in 262.65s.
 Advancement : 10.5 % done in 262.81s.
 Advancement : 10.5 % done in 263.17s.
 Advancement : 10.6 % done in 263.86s.
 Advancement : 10.6 % done in 263.95s.
 Advancement : 10.6 % done in 264.32s.
 Advancement : 10.6 % done in 264.59s.
 Advancement : 10.6 % done in 264.89s.
 Advancement : 10.7 % done in 265.18s.
 Advancement : 10.7 % done in 266.01s.
 Advancement : 10.7 % done in 266.53s.
 Advancement : 10.7 % done in 266.88s.
 Advancement : 10.7 % done in 267.05s.
 Advancement : 10.8 % done in 267.15s.
 Advancement : 10.8 % done in 267.35s.
 Advancement : 10.8 % done in 267.79s.
 Advancement : 10.8 % done in 267.93s.
 Advancement : 10.8 % done in 268.40s.
 Advancement : 10.9 % done in 268.91s.
 Advancement : 10.9 % done in 269.02s.
 Advancement : 10.9 % done in 269.69s.
 Advancement : 10.9 % done in 270.42s.
 Advancement : 10.9 % done in 270.83s.
 Advancement : 11.0 % done in 272.89s.
 Advancement : 11.0 % done in 273.31s.
 Advancement : 11.0 % done in 273.76s.
 Advancement : 11.0 % done in 273.91s.
 Advancement : 11.0 % done in 274.06s.
 Advancement : 11.1 % done in 274.49s.
 Advancement : 11.1 % done in 274.70s.
 Advancement : 11.1 % done in 275.13s.
 Advancement : 11.1 % done in 275.55s.
 Advancement : 11.1 % done in 275.66s.
 Advancement : 11.2 % done in 275.74s.
 Advancement : 11.2 % done in 275.98s.
 Advancement : 11.2 % done in 276.60s.
 Advancement : 11.2 % done in 277.20s.
 Advancement : 11.2 % done in 277.41s.
 Advancement : 11.3 % done in 277.61s.
 Advancement : 11.3 % done in 278.00s.
 Advancement : 11.3 % done in 278.21s.
 Advancement : 11.3 % done in 278.90s.
 Advancement : 11.3 % done in 279.16s.
 Advancement : 11.4 % done in 280.30s.
 Advancement : 11.4 % done in 280.42s.
 Advancement : 11.4 % done in 281.04s.
 Advancement : 11.4 % done in 281.73s.
 Advancement : 11.4 % done in 282.46s.
 Advancement : 11.5 % done in 282.64s.
 Advancement : 11.5 % done in 282.90s.
 Advancement : 11.5 % done in 283.03s.
 Advancement : 11.5 % done in 283.13s.
 Advancement : 11.5 % done in 283.91s.
 Advancement : 11.6 % done in 284.30s.
 Advancement : 11.6 % done in 285.80s.
 Advancement : 11.6 % done in 286.75s.
 Advancement : 11.6 % done in 287.45s.
 Advancement : 11.6 % done in 288.16s.
 Advancement : 11.7 % done in 288.31s.
 Advancement : 11.7 % done in 290.48s.
 Advancement : 11.7 % done in 291.17s.
 Advancement : 11.7 % done in 291.46s.
 Advancement : 11.7 % done in 291.61s.
 Advancement : 11.8 % done in 291.91s.
 Advancement : 11.8 % done in 292.20s.
 Advancement : 11.8 % done in 292.52s.
 Advancement : 11.8 % done in 293.29s.
 Advancement : 11.8 % done in 293.43s.
 Advancement : 11.9 % done in 293.99s.
 Advancement : 11.9 % done in 294.13s.
 Advancement : 11.9 % done in 294.26s.
 Advancement : 11.9 % done in 294.69s.
 Advancement : 11.9 % done in 295.03s.
 Advancement : 12.0 % done in 295.31s.
 Advancement : 12.0 % done in 295.44s.
 Advancement : 12.0 % done in 296.18s.
 Advancement : 12.0 % done in 296.59s.
 Advancement : 12.0 % done in 296.86s.
 Advancement : 12.1 % done in 297.44s.
 Advancement : 12.1 % done in 297.65s.
 Advancement : 12.1 % done in 298.26s.
 Advancement : 12.1 % done in 299.53s.
 Advancement : 12.1 % done in 301.02s.
 Advancement : 12.2 % done in 301.16s.
 Advancement : 12.2 % done in 301.54s.
 Advancement : 12.2 % done in 302.25s.
 Advancement : 12.2 % done in 302.52s.
 Advancement : 12.2 % done in 303.18s.
 Advancement : 12.3 % done in 303.35s.
 Advancement : 12.3 % done in 303.50s.
 Advancement : 12.3 % done in 304.83s.
 Advancement : 12.3 % done in 305.04s.
 Advancement : 12.3 % done in 305.34s.
 Advancement : 12.4 % done in 305.74s.
 Advancement : 12.4 % done in 306.01s.
 Advancement : 12.4 % done in 306.17s.
 Advancement : 12.4 % done in 306.58s.
 Advancement : 12.4 % done in 306.82s.
 Advancement : 12.5 % done in 306.99s.
 Advancement : 12.5 % done in 307.16s.
 Advancement : 12.5 % done in 307.49s.
 Advancement : 12.5 % done in 309.56s.
 Advancement : 12.5 % done in 310.03s.
 Advancement : 12.6 % done in 310.41s.
 Advancement : 12.6 % done in 310.87s.
 Advancement : 12.6 % done in 311.33s.
 Advancement : 12.6 % done in 311.53s.
 Advancement : 12.6 % done in 312.13s.
 Advancement : 12.7 % done in 312.26s.
 Advancement : 12.7 % done in 313.00s.
 Advancement : 12.7 % done in 313.11s.
 Advancement : 12.7 % done in 313.53s.
 Advancement : 12.7 % done in 313.83s.
 Advancement : 12.8 % done in 314.24s.
 Advancement : 12.8 % done in 314.41s.
 Advancement : 12.8 % done in 314.64s.
 Advancement : 12.8 % done in 315.01s.
 Advancement : 12.8 % done in 315.21s.
 Advancement : 12.9 % done in 315.48s.
 Advancement : 12.9 % done in 316.03s.
 AAdvancement : 12donedone in 316.40s.
 Advancement : 12.9 % done in 317.08s.
 Advancement : 12.9 % done in 317.27s.
 Advancement : 13.0 % done in 317.80s.
 Advancement : 13.0 % done in 318.23s.
 Advancement : 13.0 % done in 320.18s.
 Advancement : 13.0 % done in 320.51s.
 Advancement : 13.0 % done in 320.79s.
 Advancement : 13.1 % done in 321.21s.
 Advancement : 13.1 % done in 321.28s.
 Advancement : 13.1 % done in 321.37s.
 Advancement : 13.1 % done in 321.51s.
 Advancement : 13.1 % done in 321.65s.
 Advancement : 13.2 % done in 322.52s.
 Advancement : 13.2 % done in 323.40s.
 Advancement : 13.2 % done in 323.56s.
 Advancement : 13.2 % done in 324.31s.
 Advancement : 13.2 % done in 324.67s.
